0,Weapon,Name,Rating,Accuracy(%),Shot fired,Hits,Deaths,DMG_Get,Sex
973,Rifle,Dawid,60.5,19.7,2541.0,500.0,31.0,383.0,Men
976,Gun,Felix,44.3,8.9,4685.0,415.0,32.0,367.0,Men
979,Gun,Weronika,23.4,10.7,2991.0,321.0,59.0,553.0,Women
980,Rifle,Natalia,13.7,8.3,1527.0,127.0,45.0,359.0,Women
981,Rifle,Martyna,10.6,11.1,1415.0,157.0,75.0,601.0,Women
984,Gun,Aleks,63.7,21.5,3034.0,653.0,53.0,578.0,Men
992,Gun,Mateusz,74.5,27.3,1317.0,360.0,21.0,248.0,Men
993,Gun,Rafał,60.9,17.3,2629.0,456.0,35.0,335.0,Men
995,Rifle,Adrian,39.9,13.9,2732.0,381.0,59.0,406.0,Men
996,Gun,Monia,31.4,8.4,2076.0,174.0,24.0,215.0,Women
999,Rifle,Iwo,77.4,16.3,3703.0,602.0,36.0,343.0,Men
1007,Gun,Seba,25.9,13.8,1795.0,247.0,38.0,404.0,Men
1010,Gun,Karol,19.5,9.7,3065.0,298.0,77.0,607.0,Men
1012,Gun,Wiktor,8.8,5.4,2039.0,110.0,58.0,461.0,Men
1013,Rifle,Karol,85.6,14.8,4343.0,642.0,20.0,323.0,Men
1014,Gun,Kacper,57.2,13.3,2875.0,381.0,25.0,280.0,Men
1015,Rifle,Bartek,55.6,13.8,3802.0,524.0,32.0,400.0,Men
1016,Gun,Mateusz,55.6,10.9,2416.0,263.0,13.0,191.0,Men
1017,Rifle,Filip,54.4,12.6,4017.0,507.0,35.0,388.0,Men
1018,Rifle,Julia,46.0,10.0,1922.0,192.0,13.0,166.0,Women
1019,Rifle,Piotrek,43.9,18.7,2236.0,418.0,38.0,435.0,Men
1021,Rifle,Janek,42.1,25.1,1763.0,442.0,55.0,525.0,Men
1023,Gun,Adam,14.7,9.4,2098.0,197.0,58.0,529.0,Men
1025,Gun,Natalia,75.6,18.1,1538.0,278.0,14.0,166.0,Women
1027,Rifle,Wiktoria,44.7,17.4,1122.0,195.0,14.0,195.0,Women
1028,Rifle,Klaudia,38.9,18.0,876.0,158.0,15.0,183.0,Women
1031,Rifle,Adrian,107.3,24.3,1605.0,390.0,9.0,179.0,Men
1032,Gun,Dawid,66.6,18.6,995.0,185.0,5.0,126.0,Men
1033,Gun,Kacper,36.4,14.6,1207.0,176.0,13.0,207.0,Men
1034,Rifle,Michał,34.7,26.0,584.0,152.0,18.0,221.0,Men
1035,Gun,Mikołaj,30.4,20.6,719.0,148.0,23.0,228.0,Men
1036,Gun,Kaja,19.0,10.6,762.0,81.0,13.0,171.0,Women
1039,Gun,Szymek,53.6,14.6,2654.0,387.0,21.0,310.0,Men
1044,Gun,Maja,24.5,13.0,2181.0,284.0,61.0,485.0,Women
1045,Gun,Olek,19.6,8.1,2089.0,169.0,34.0,333.0,Men
1046,Gun,Ala,3.9,3.2,1477.0,48.0,43.0,432.0,Women
1047,Rifle,Rafał,101.7,12.0,2577.0,310.0,9.0,125.0,Men
1048,Rifle,Darek,71.9,14.3,1528.0,218.0,7.0,129.0,Men
